=== Top query — sc-domain:atlantistours.pt  2026-04-17 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
fishing in atlantis                                                                                                                                                                                           0       2            0.0%    34.0    
fishing in portugal algarve                                                                                                                                                                                   0       1            0.0%    66.0    
fortuna excursiones                                                                                                                                                                                           0       1            0.0%    21.0    
free tour portimao                                                                                                                                                                                            0       1            0.0%    11.0    
get your guide portimao portugal                                                                                                                                                                              0       8            0.0%    13.2    
getyourguide portimao                                                                                                                                                                                         0       1            0.0%    12.0    
giro in quad                                                                                                                                                                                                  0       1            0.0%    14.0    
gite in barca algarve                                                                                                                                                                                         0       1            0.0%    15.0    
gite in barca portimao                                                                                                                                                                                        0       31           0.0%    2.6     
grotte benagil                                                                                                                                                                                                0       5            0.0%    9.2     
grotte de benagil                                                                                                                                                                                             0       1            0.0%    7.0     
grotte de benagil accès à pied                                                                                                                                                                                0       2            0.0%    2.0     
grotte de benagil carte                                                                                                                                                                                       0       3            0.0%    11.7    
grottes de benagil                                                                                                                                                                                            0       1            0.0%    12.0    
gruta benagil onde fica                                                                                                                                                                                       0       1            0.0%    9.0     
gruta de benagil                                                                                                                                                                                              0       2            0.0%    47.5    
gruta de benagil onde fica                                                                                                                                                                                    0       4            0.0%    11.2    
gruta do benagil                                                                                                                                                                                              0       1            0.0%    33.0    
grutas benagil                                                                                                                                                                                                0       7            0.0%    18.4    
grutas benagil barco                                                                                                                                                                                          0       8            0.0%    15.1    
grutas benagil preço                                                                                                                                                                                          0       9            0.0%    11.2    
grutas benagil preços                                                                                                                                                                                         0       6            0.0%    26.7    
grutas de benagil                                                                                                                                                                                             0       10           0.0%    26.2    
grutas de benagil acesso a pé                                                                                                                                                                                 0       3            0.0%    30.3    
grutas de benagil bilhetes                                                                                                                                                                                    0       4            0.0%    41.5    
grutas de benagil mapa                                                                                                                                                                                        0       3            0.0%    11.3    
grutas de benagil onde fica                                                                                                                                                                                   0       1            0.0%    7.0     
grutas de benagil portugal                                                                                                                                                                                    0       2            0.0%    40.5    
grutas de benagil preço                                                                                                                                                                                       0       13           0.0%    12.5    
grutas marinhas                                                                                                                                                                                               0       2            0.0%    9.0     
grutas portimao                                                                                                                                                                                               0       7            0.0%    21.9    
half day fishing                                                                                                                                                                                              0       1            0.0%    6.0     
homard en portugais                                                                                                                                                                                           0       1            0.0%    39.0    
hop on hop off portimao                                                                                                                                                                                       0       1            0.0%    1.0     
horario                                                                                                                                                                                                       0       1            0.0%    5.0     
horario atlantis                                                                                                                                                                                              0       1            0.0%    13.0    
how much are the tickets                                                                                                                                                                                      0       1            0.0%    5.0     
huur stacaravan portimao                                                                                                                                                                                      0       7            0.0%    25.3    
höhle von benagil an der algarve                                                                                                                                                                              0       1            0.0%    33.0    
i kayak                                                                                                                                                                                                       0       1            0.0%    23.0    
ilha do maio                                                                                                                                                                                                  0       1            0.0%    39.0    
in february                                                                                                                                                                                                   0       1            0.0%    3.0     
in may                                                                                                                                                                                                        0       1            0.0%    1.0     
indoor activities near me                                                                                                                                                                                     0       1            0.0%    3.0     
is benagil cave closed                                                                                                                                                                                        0       7            0.0%    7.1     
ja                                                                                                                                                                                                            0       1            0.0%    3.0     
l'algarve en avril                                                                                                                                                                                            0       6            0.0%    10.2    
lagos benagil cave tour                                                                                                                                                                                       0       1            0.0%    46.0    
lagos to portimao tour                                                                                                                                                                                        0       1            0.0%    78.0    
last minute benagil cave tour tickets from albufeira for tomorrow availability                                                                                                                                0       1            0.0%    3.0     
latino excursiones                                                                                                                                                                                            0       2            0.0%    22.0    
linguado poisson                                                                                                                                                                                              0       1            0.0%    8.0     
linha algarve                                                                                                                                                                                                 0       1            0.0%    27.0    
lugares em portugal para conhecer                                                                                                                                                                             0       1            0.0%    1.0     
luxury sailing                                                                                                                                                                                                0       1            0.0%    6.0     
mallorca                                                                                                                                                                                                      0       1            0.0%    1.0     
mare porto portimão                                                                                                                                                                                           0       6            0.0%    12.7    
marés portimão                                                                                                                                                                                                0       1            0.0%    29.0    
melhor época visitar benagil                                                                                                                                                                                  0       48           0.0%    11.9    
museum tours                                                                                                                                                                                                  0       1            0.0%    12.0    
nadar con delfines algarve                                                                                                                                                                                    0       1            0.0%    10.0    
natura tours                                                                                                                                                                                                  0       1            0.0%    3.0     
nautitour                                                                                                                                                                                                     0       1            0.0%    9.0     
now in may                                                                                                                                                                                                    0       1            0.0%    2.0     
nuno garoupa                                                                                                                                                                                                  0       4            0.0%    7.8     
o que fazer em familia                                                                                                                                                                                        0       1            0.0%    1.0     
o que fazer em portimão com crianças                                                                                                                                                                          0       8            0.0%    2.2     
observacion de delfines en el algarve                                                                                                                                                                         0       1            0.0%    73.0    
ocean quest algarve                                                                                                                                                                                           0       2            0.0%    58.5    
oitavos dunes                                                                                                                                                                                                 0       1            0.0%    5.0     
ok                                                                                                                                                                                                            0       1            0.0%    7.0     
olhos de agua                                                                                                                                                                                                 0       1            0.0%    1.0     
onde nasce o rio arade                                                                                                                                                                                        0       2            0.0%    11.0    
only tours agência de viagens                                                                                                                                                                                 0       1            0.0%    10.0    
ophelia catamaran                                                                                                                                                                                             0       1            0.0%    56.0    
ore excursiones                                                                                                                                                                                               0       7            0.0%    17.1    
p4y                                                                                                                                                                                                           0       3            0.0%    2.7     
p4y meaning                                                                                                                                                                                                   0       1            0.0%    1.0     
panorama excursiones                                                                                                                                                                                          0       1            0.0%    22.0    
paradise boat tour                                                                                                                                                                                            0       1            0.0%    3.0     
parasailing portimao                                                                                                                                                                                          0       10           0.0%    5.6     
paseo en barco cueva benagil                                                                                                                                                                                  0       1            0.0%    22.0    
paseo en barco portimao                                                                                                                                                                                       0       67           0.0%    19.7    
passeio barco portimao                                                                                                                                                                                        0       7            0.0%    11.9    
passeio de barco portimao                                                                                                                                                                                     0       18           0.0%    11.2    
passeio de barco portimao a benagil                                                                                                                                                                           0       2            0.0%    49.5    
passeio de barco portimão                                                                                                                                                                                     0       9            0.0%    6.3     
passeio grutas benagil                                                                                                                                                                                        0       5            0.0%    18.2    
passeio grutas de benagil                                                                                                                                                                                     0       4            0.0%    23.2    
passeios de barco portimão                                                                                                                                                                                    0       6            0.0%    21.7    
passeios gruta benagil                                                                                                                                                                                        0       1            0.0%    14.0    
passeios grutas benagil                                                                                                                                                                                       0       1            0.0%    33.0    
passeios grutas de benagil                                                                                                                                                                                    0       2            0.0%    34.0    

rows=500   Σclicks=581   Σimpressions=5583
