=== Top query — sc-domain:atlantistours.pt  2026-02-15 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
boat tours algarve portugal                                                                                                                                                                                   0       7            0.0%    31.9    
boat tours benagil                                                                                                                                                                                            0       37           0.0%    30.6    
boat tours benagil cave                                                                                                                                                                                       0       2            0.0%    31.0    
boat tours carvoeiro                                                                                                                                                                                          0       1            0.0%    81.0    
boat tours in algarve                                                                                                                                                                                         0       9            0.0%    42.3    
boat tours in algarve portugal                                                                                                                                                                                0       3            0.0%    35.0    
boat tours near me                                                                                                                                                                                            0       24           0.0%    18.1    
boat tours near me today                                                                                                                                                                                      0       1            0.0%    12.0    
boat tours portugal                                                                                                                                                                                           0       1            0.0%    42.0    
boat tours to benagil caves                                                                                                                                                                                   0       5            0.0%    70.6    
boat tout                                                                                                                                                                                                     0       1            0.0%    8.0     
boat trip                                                                                                                                                                                                     0       4            0.0%    25.5    
boat trip benagil                                                                                                                                                                                             0       17           0.0%    39.0    
boat trip near me                                                                                                                                                                                             0       3            0.0%    8.7     
boat trip portugal                                                                                                                                                                                            0       1            0.0%    90.0    
boat trip to benagil cave                                                                                                                                                                                     0       4            0.0%    57.5    
boat trip to benagil caves                                                                                                                                                                                    0       7            0.0%    27.1    
boat trips                                                                                                                                                                                                    0       1            0.0%    26.0    
boat trips algarve                                                                                                                                                                                            0       21           0.0%    47.2    
boat trips algarve portugal                                                                                                                                                                                   0       27           0.0%    42.0    
boat trips alvor                                                                                                                                                                                              0       5            0.0%    31.4    
boat trips faro portugal                                                                                                                                                                                      0       1            0.0%    86.0    
boat trips from portimao                                                                                                                                                                                      0       18           0.0%    11.8    
boat trips in algarve                                                                                                                                                                                         0       1            0.0%    36.0    
boat trips in algarve portugal                                                                                                                                                                                0       1            0.0%    34.0    
boat trips in portugal                                                                                                                                                                                        0       2            0.0%    41.5    
boat trips in the algarve                                                                                                                                                                                     0       2            0.0%    74.5    
boat trips near me                                                                                                                                                                                            0       4            0.0%    6.2     
boat trips portugal                                                                                                                                                                                           0       22           0.0%    60.3    
boat trips to benagil caves                                                                                                                                                                                   0       1            0.0%    25.0    
boats tour                                                                                                                                                                                                    0       1            0.0%    12.0    
book caves algarve                                                                                                                                                                                            0       2            0.0%    9.0     
book excursions near me                                                                                                                                                                                       0       1            0.0%    7.0     
bootsfahrt algarve                                                                                                                                                                                            0       1            0.0%    67.0    
bootstour algarve                                                                                                                                                                                             0       3            0.0%    37.7    
bootstour benagil                                                                                                                                                                                             0       5            0.0%    36.4    
bootstour faro                                                                                                                                                                                                0       1            0.0%    77.0    
bootstouren algarve                                                                                                                                                                                           0       1            0.0%    10.0    
boottocht algarve                                                                                                                                                                                             0       1            0.0%    13.0    
boottocht portimao                                                                                                                                                                                            0       35           0.0%    7.3     
buffet boat                                                                                                                                                                                                   0       1            0.0%    12.0    
by atlantis                                                                                                                                                                                                   0       1            0.0%    14.0    
cafe near me                                                                                                                                                                                                  0       1            0.0%    1.0     
call of atlantis                                                                                                                                                                                              0       2            0.0%    21.5    
call of the atlantis                                                                                                                                                                                          0       1            0.0%    20.0    
call taxi near me                                                                                                                                                                                             0       1            0.0%    1.0     
camping tour operators                                                                                                                                                                                        0       3            0.0%    1.7     
cantine portugaise                                                                                                                                                                                            0       1            0.0%    10.0    
carte faro                                                                                                                                                                                                    0       1            0.0%    1.0     
carvoeiro                                                                                                                                                                                                     0       2            0.0%    1.0     
carvoeiro boardwalk                                                                                                                                                                                           0       1            0.0%    3.0     
carvoeiro cave tours                                                                                                                                                                                          0       1            0.0%    61.0    
carvoeiro portugal                                                                                                                                                                                            0       1            0.0%    1.0     
carvoeiro to alvor tour                                                                                                                                                                                       0       7            0.0%    85.0    
carvoeiro to ferragudo portimao and alvor tour                                                                                                                                                                0       23           0.0%    64.1    
carvoeiro to portimao tour                                                                                                                                                                                    0       3            0.0%    82.0    
catamaran portimao                                                                                                                                                                                            0       1            0.0%    75.0    
catamaran tours                                                                                                                                                                                               0       1            0.0%    12.0    
cave                                                                                                                                                                                                          0       1            0.0%    5.0     
cave algarve                                                                                                                                                                                                  0       4            0.0%    49.8    
cave atlantis                                                                                                                                                                                                 0       2            0.0%    19.5    
cave benagil                                                                                                                                                                                                  0       2            0.0%    10.5    
cave boat tour                                                                                                                                                                                                0       2            0.0%    5.0     
cave boat tour near me                                                                                                                                                                                        0       1            0.0%    14.0    
cave boat tours near me                                                                                                                                                                                       0       8            0.0%    10.8    
cave in algarve portugal                                                                                                                                                                                      0       1            0.0%    99.0    
cave tour                                                                                                                                                                                                     0       4            0.0%    10.5    
cave tour algarve                                                                                                                                                                                             0       44           0.0%    14.9    
cave tour near me                                                                                                                                                                                             0       2            0.0%    10.5    
cave tour portugal                                                                                                                                                                                            0       4            0.0%    11.2    
cave tours                                                                                                                                                                                                    0       2            0.0%    9.5     
cave tours algarve                                                                                                                                                                                            0       3            0.0%    18.3    
cave tours algarve portugal                                                                                                                                                                                   0       29           0.0%    17.7    
cave tours lagos portugal                                                                                                                                                                                     0       1            0.0%    84.0    
cave tours near me                                                                                                                                                                                            0       37           0.0%    10.9    
caverna benagil                                                                                                                                                                                               0       1            0.0%    98.0    
caves algarve                                                                                                                                                                                                 0       2            0.0%    55.5    
caves benagil                                                                                                                                                                                                 0       2            0.0%    80.5    
caves de benagil                                                                                                                                                                                              0       1            0.0%    59.0    
caves portimao                                                                                                                                                                                                0       3            0.0%    11.0    
caves tour                                                                                                                                                                                                    0       3            0.0%    11.3    
caves tour near me                                                                                                                                                                                            0       4            0.0%    9.0     
caves tours near me                                                                                                                                                                                           0       3            0.0%    8.0     
centianes boat trip                                                                                                                                                                                           0       4            0.0%    39.8    
chanonry point                                                                                                                                                                                                0       1            0.0%    4.0     
chanonry point dolphins                                                                                                                                                                                       0       1            0.0%    2.0     
chateau algarve                                                                                                                                                                                               0       1            0.0%    1.0     
children activities near me                                                                                                                                                                                   0       1            0.0%    1.0     
coast tours                                                                                                                                                                                                   0       1            0.0%    2.0     
coastal adventure                                                                                                                                                                                             0       30           0.0%    5.4     
coastal grill menu                                                                                                                                                                                            0       1            0.0%    12.0    
coastal tour                                                                                                                                                                                                  0       1            0.0%    4.0     
coastal tours                                                                                                                                                                                                 0       1            0.0%    5.0     

rows=500   Σclicks=1602   Σimpressions=15201
