=== Top query — sc-domain:atlantistours.pt  2025-11-16 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
benagil coast line & sunset algarve cave captain                                                                                                                                                              0       5            0.0%    78.4    
benagil como llegar                                                                                                                                                                                           0       3            0.0%    7.7     
benagil cruise                                                                                                                                                                                                0       69           0.0%    19.0    
benagil cruise from portimão                                                                                                                                                                                  0       17           0.0%    12.5    
benagil cuevas                                                                                                                                                                                                0       2            0.0%    6.0     
benagil grottes & côtes algarve cave captain                                                                                                                                                                  0       3            0.0%    20.0    
benagil gruta                                                                                                                                                                                                 0       4            0.0%    78.0    
benagil höhle tour                                                                                                                                                                                            0       1            0.0%    66.0    
benagil küstenlinie & sonnenuntergang algarve cave captain                                                                                                                                                    0       6            0.0%    18.0    
benagil passeio de barco                                                                                                                                                                                      0       104          0.0%    50.4    
benagil playa                                                                                                                                                                                                 0       1            0.0%    10.0    
benagil portimao                                                                                                                                                                                              0       6            0.0%    7.3     
benagil portugal maps                                                                                                                                                                                         0       1            0.0%    1.0     
benagil portugal sea cave                                                                                                                                                                                     0       1            0.0%    100.0   
benagil promenade privée avec le capitaine algarve cave captain                                                                                                                                               0       1            0.0%    25.0    
benagil pueblo                                                                                                                                                                                                0       1            0.0%    12.0    
benagil sailing cruise from portimão                                                                                                                                                                          0       17           0.0%    8.5     
benagil sailing trip                                                                                                                                                                                          0       16           0.0%    22.9    
benagil sea cave                                                                                                                                                                                              0       30           0.0%    14.2    
benagil sea cave algarve portugal                                                                                                                                                                             0       5            0.0%    89.2    
benagil sea cave boat tour                                                                                                                                                                                    0       2            0.0%    42.0    
benagil sea cave portugal                                                                                                                                                                                     0       5            0.0%    60.2    
benagil sea cave skylight algarve                                                                                                                                                                             0       1            0.0%    12.0    
benagil sea cave tour                                                                                                                                                                                         0       109          0.0%    15.7    
benagil sea cave tour portimão                                                                                                                                                                                0       23           0.0%    22.3    
benagil sea caves                                                                                                                                                                                             0       6            0.0%    12.3    
benagil sea caves portugal                                                                                                                                                                                    0       8            0.0%    62.6    
benagil sup tour availability                                                                                                                                                                                 0       2            0.0%    72.5    
benagil tour                                                                                                                                                                                                  0       41           0.0%    26.4    
benagil tours                                                                                                                                                                                                 0       28           0.0%    23.7    
benagil tours from carvoeiro                                                                                                                                                                                  0       28           0.0%    79.1    
benagil tours from lagoa                                                                                                                                                                                      0       26           0.0%    66.1    
benagil tours from portimão                                                                                                                                                                                   0       255          0.0%    46.3    
benagil village                                                                                                                                                                                               0       5            0.0%    10.0    
benagli caves                                                                                                                                                                                                 0       1            0.0%    1.0     
bengali boat tour                                                                                                                                                                                             0       2            0.0%    11.0    
bengali cave tour                                                                                                                                                                                             0       1            0.0%    10.0    
bengali cave tours                                                                                                                                                                                            0       3            0.0%    13.0    
benigil cave                                                                                                                                                                                                  0       2            0.0%    1.0     
best access benagil cave                                                                                                                                                                                      0       1            0.0%    84.0    
best adventure travel company                                                                                                                                                                                 0       1            0.0%    31.0    
best algarve boat tours                                                                                                                                                                                       0       1            0.0%    50.0    
best algarve tours                                                                                                                                                                                            0       8            0.0%    9.9     
best benagil cave and dolphin tour from portimão                                                                                                                                                              0       1            0.0%    4.0     
best benagil cave tour from portimão                                                                                                                                                                          0       1            0.0%    4.0     
best dolphin watching portimão                                                                                                                                                                                0       6            0.0%    3.0     
best excursions near me                                                                                                                                                                                       0       1            0.0%    2.0     
best hiking tour for the seven hanging valleys trail with transport from albufeira                                                                                                                            0       1            0.0%    10.0    
best portugal tours for seniors                                                                                                                                                                               0       1            0.0%    10.0    
best rated benagil sup tour                                                                                                                                                                                   0       1            0.0%    80.0    
best things to do for toddlers near me                                                                                                                                                                        0       1            0.0%    5.0     
best time of day to visit benagil caves                                                                                                                                                                       0       7            0.0%    6.6     
best time to see dolphins in albufeira                                                                                                                                                                        0       2            0.0%    5.5     
best tour                                                                                                                                                                                                     0       1            0.0%    5.0     
best tour companies                                                                                                                                                                                           0       37           0.0%    26.7    
best tour operators in portugal                                                                                                                                                                               0       1            0.0%    2.0     
best tours                                                                                                                                                                                                    0       25           0.0%    3.1     
best tours near me                                                                                                                                                                                            0       2            0.0%    8.0     
best transfers                                                                                                                                                                                                0       1            0.0%    13.0    
best travel                                                                                                                                                                                                   0       28           0.0%    5.3     
best travel adventure companies                                                                                                                                                                               0       1            0.0%    41.0    
best travel agencies                                                                                                                                                                                          0       7            0.0%    8.1     
best travel agency                                                                                                                                                                                            0       1            0.0%    8.0     
best travel agency in portugal                                                                                                                                                                                0       2            0.0%    2.5     
best travel agência de viagens                                                                                                                                                                                0       3            0.0%    7.0     
best travel company                                                                                                                                                                                           0       1            0.0%    21.0    
best travel tours                                                                                                                                                                                             0       3            0.0%    22.0    
bike and barge tours portugal                                                                                                                                                                                 0       1            0.0%    96.0    
blue ocean trips                                                                                                                                                                                              0       2            0.0%    43.0    
boa excursiones                                                                                                                                                                                               0       3            0.0%    21.0    
boat cave tours near me                                                                                                                                                                                       0       1            0.0%    11.0    
boat party portimao                                                                                                                                                                                           0       1            0.0%    18.0    
boat ride near me                                                                                                                                                                                             0       1            0.0%    6.0     
boat rides in algarve                                                                                                                                                                                         0       17           0.0%    68.1    
boat rides near me                                                                                                                                                                                            0       1            0.0%    7.0     
boat tour                                                                                                                                                                                                     0       5            0.0%    21.8    
boat tour agencies                                                                                                                                                                                            0       1            0.0%    12.0    
boat tour agency                                                                                                                                                                                              0       9            0.0%    8.8     
boat tour algarve portugal                                                                                                                                                                                    0       4            0.0%    9.2     
boat tour benagil cave                                                                                                                                                                                        0       10           0.0%    29.0    
boat tour benagil caves                                                                                                                                                                                       0       2            0.0%    60.5    
boat tour lagos caves                                                                                                                                                                                         0       1            0.0%    8.0     
boat tour near me                                                                                                                                                                                             0       23           0.0%    13.5    
boat tour to benagil cave                                                                                                                                                                                     0       14           0.0%    54.7    
boat tours                                                                                                                                                                                                    0       5            0.0%    23.2    
boat tours algarve                                                                                                                                                                                            0       50           0.0%    30.4    
boat tours algarve caves                                                                                                                                                                                      0       1            0.0%    39.0    
boat tours algarve portugal                                                                                                                                                                                   0       11           0.0%    49.1    
boat tours benagil                                                                                                                                                                                            0       140          0.0%    57.0    
boat tours benagil cave                                                                                                                                                                                       0       2            0.0%    31.0    

rows=500   Σclicks=2208   Σimpressions=22368
